nome;colecao;arte;foil;lingua;quantidade;valor
Jhoira, Ageless Innovator;Dominaria United(TFDMU);https://repositorio.sbrauble.com/arquivos/in/magic/480031/63021ba323dd4-uclay-8eq5n-138471451763021ba323e14.jpg;não;pt;3;R$ 1.00
Rith, Liberated Primeval;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/630795e065987-4kl6o-we1uj-40450574630795e0659cb.jpg;não;pt;1;R$ 5.74
Invasion of Innistrad;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/642b1a4a928ab-1mx9u-h3xpm-1705768992642b1a4a928fc.jpg;não;pt;1;R$ 7.00
The Deck of Many Things;Adventures in the Forgotten Realms (AFR);https://repositorio.sbrauble.com/arquivos/in/magic/479855/60df352ed5da0-g7ukb-o2sv4-25366675460df352ed5df3.jpg;não;en;1;R$ 13.50
Gale, Waterdeep Prodigy;Commander Legends(FECLB);https://repositorio.sbrauble.com/arquivos/in/magic/479915/62862602b4e1b-06a5o-3bkve-26549386462862602b4e64.jpg;sim;en;1;R$ 3.00
Seshiro the Anointed;The List(TL);https://repositorio.sbrauble.com/arquivos/in/magic/479828/620d285522ede-ysgtf-nb0qr-42586518620d285522f22.jpg;não;en;1;R$ 18.00
Elvish Champion;The List(TL);https://repositorio.sbrauble.com/arquivos/in/magic/479828/630d1de2a5a30-po5yl-fd3zr-1576545500630d1de2a5a7b.jpg;não;en;1;R$ 57.00
Heliod, the Radiant Dawn;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/6424af3203ffa-1s7il-13z6o-12540716216424af320403f.jpg;sim;pt;1;R$ 5.12
Liliana of the Veil;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/62ffc8c602ac1-lbndt-e2uv7-134167281462ffc8c602aff.jpg;não;pt;1;R$ 79.00
Ezuri, Claw of Progress ;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea4e27ecb-id7uh-mjpq2-481841309642dea4e27f12.jpg;não;pt;2;R$ 1.98
Zurgo and Ojutai;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/6424a59c58b3d-qpur8-g1upe-10500437086424a59c58b88.jpg;não;pt;2;R$ 3.78
